gender,ip_address,transaction,type,value,date
Female,195.191.173.161,deposit,checking,525645.32,17-Oct-2019
Male,218.177.192.145,withdraw,savings,10427.9,26-Oct-2019
Female,205.234.27.68,withdraw,checking,62880.31,23-Oct-2019
Male,224.243.25.67,deposit,checking,561447.09,18-Oct-2019
Male,217.221.54.193,deposit,checking,58867.66,21-Oct-2019
Female,172.240.99.217,deposit,savings,738874.72,10-Oct-2019
Male,223.29.43.15,deposit,savings,599300.31,12-Oct-2019
Male,205.28.13.239,deposit,checking,328931.73,12-Oct-2019
Male,218.74.44.232,withdraw,savings,168280.67,11-Oct-2019
Female,81.134.195.153,withdraw,savings,646684.92,17-Oct-2019
Male,220.113.218.163,deposit,checking,661164.0,14-Oct-2019
Female,187.157.182.66,withdraw,savings,408806.22,08-Oct-2019
Female,179.26.83.102,withdraw,savings,199221.54,15-Oct-2019
Female,155.162.190.144,withdraw,savings,297367.01,10-Oct-2019
Male,58.18.73.144,withdraw,savings,469918.32,03-Oct-2019
Female,225.116.173.249,withdraw,savings,454042.61,21-Oct-2019
Male,236.25.65.212,withdraw,checking,89850.66,19-Oct-2019
Male,31.204.104.93,withdraw,savings,593870.05,01-Oct-2019
Female,216.200.61.5,withdraw,checking,27374.49,08-Oct-2019
Female,187.21.216.98,deposit,checking,753089.26,09-Oct-2019
Female,64.252.69.85,withdraw,checking,789828.73,16-Oct-2019
Female,144.101.188.146,deposit,checking,399785.98,05-Oct-2019
Female,180.144.169.2,deposit,savings,961438.59,26-Oct-2019
Male,116.86.38.26,withdraw,savings,603431.85,10-Oct-2019
Male,130.32.73.17,withdraw,checking,896245.16,28-Oct-2019
Female,175.227.166.153,withdraw,savings,406584.28,22-Oct-2019
Male,203.163.186.228,withdraw,checking,951224.91,10-Oct-2019
Male,140.72.168.141,withdraw,savings,974742.4,07-Oct-2019
Female,46.96.140.19,deposit,checking,367796.23,11-Oct-2019
Female,184.125.66.147,deposit,checking,75458.33,15-Oct-2019
Female,103.136.123.211,withdraw,checking,607643.93,24-Oct-2019
Female,71.129.86.227,withdraw,savings,345691.49,22-Oct-2019
Male,114.40.7.186,withdraw,checking,669050.97,01-Oct-2019
Male,177.76.30.31,withdraw,checking,74017.94,16-Oct-2019
Male,160.183.138.54,deposit,savings,29166.82,16-Oct-2019
Male,136.233.105.217,deposit,savings,341002.37,24-Oct-2019
Female,164.1.107.125,deposit,checking,499805.54,01-Oct-2019
Female,215.116.178.115,withdraw,savings,631080.43,03-Oct-2019
Male,200.49.150.139,withdraw,savings,219346.35,19-Oct-2019
